,brent,gold,usd_inr,sp500,india_vix,nifty_close,us_vix
brent,1.0,-0.2330252878102809,0.15334621723811195,-0.5937238714953057,0.365508215099476,-0.2696806904153105,0.4750669780088947
gold,-0.2330252878102809,1.0,0.09894851121858046,0.4131205186669198,-0.17602835026649072,0.11689826161715239,-0.4675339179796301
usd_inr,0.15334621723811195,0.09894851121858046,1.0,0.0652685109743155,0.22113812145746645,-0.13447105879148233,-0.08768204845554324
sp500,-0.5937238714953057,0.4131205186669198,0.0652685109743155,1.0,-0.10355945510860531,0.06037891576613174,-0.7888714743782987
india_vix,0.365508215099476,-0.17602835026649072,0.22113812145746645,-0.10355945510860531,1.0,-0.6761109840251417,0.24393108731048965
nifty_close,-0.2696806904153105,0.11689826161715239,-0.13447105879148233,0.06037891576613174,-0.6761109840251417,1.0,-0.0385751730713908
us_vix,0.4750669780088947,-0.4675339179796301,-0.08768204845554324,-0.7888714743782987,0.24393108731048965,-0.0385751730713908,1.0
