date,nifty_close,nifty_log_return,volatility_5d,volatility_20d,volatility_60d,momentum_20d,drawdown_60d,india_vix_change,usd_inr_return,gold_return,connectedness_60d,regime,stress_next_10d,stress_probability,warning_level,driver_1_name,driver_2_name,driver_3_name,driver_4_name,driver_5_name,driver_6_name,driver_7_name,driver_8_name,driver_1_importance,driver_2_importance,driver_3_importance,driver_4_importance,driver_5_importance,driver_6_importance,driver_7_importance,driver_8_importance
2010-01-04,5232.2001953125,,,,,,0.0,,,,,,0,0.4405957662091577,Elevated,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-05,5277.89990234375,0.008696395775181998,,,,,0.0,-0.05795257898714956,-0.0036294347155430007,0.00035789964349830505,,,0,0.39889135742892556,Elevated,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-06,5281.7998046875,0.0007386389062684628,,,,,0.0,-0.006735501367175822,-0.008672977459787123,0.015919908073333877,,,0,0.4127450009903489,Elevated,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-07,5263.10009765625,-0.0035466864183373303,,,,,-0.0035404043550939512,0.01717898491633929,-0.0006999451991885897,-0.0024650486556414553,,,0,0.48134060058806805,Elevated,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-08,5244.75,-0.0034926490460929216,,,,,-0.007014617376186583,0.0031110975477430802,-0.0037208494564717753,0.004500905212093231,,,0,0.4585647636124229,Elevated,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-11,5249.39990234375,0.0008861894848699592,0.07920633460695381,,,,-0.0061342541447700905,0.004873753293704652,-0.003515089457823972,0.010982253150801924,,,0,0.5750219670165444,Elevated,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-12,5210.39990234375,-0.007457156247328456,0.05532313655484247,,,,-0.013518100833807445,0.017636667246383908,0.005732137919155722,-0.018944927159865954,,,1,0.7550080973775684,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-13,5233.9501953125,0.004509678948101836,0.07315419871712939,,,,-0.009059337942444179,-0.047227043162522686,-0.0028497757031933357,0.006643635253611446,,,1,0.6711941518303122,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-14,5259.89990234375,0.004945708140281724,0.08449219049486006,,,,-0.004146295420798474,-0.04592997905385965,0.0016488033030745974,0.005455782329001346,,,1,0.7060200788786368,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-15,5252.2001953125,-0.0014649229624303928,0.0805288096930543,,,,-0.005604076350779308,0.004766462519143699,0.005267468777594875,-0.01093996172509093,,,1,0.7005911853397422,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-18,5274.85009765625,0.004303187818976539,0.08563097828699928,,,,-0.0013157838782685838,0.022295982687644322,-0.003602404001271875,0.0,,,1,0.6154865949198142,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-19,5225.64990234375,-0.009371088112812842,0.09771841940567329,,,,-0.010630827448991576,0.03665897649633054,0.004601408524165906,0.008494802047013694,,,1,0.7231726262705518,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-20,5221.7001953125,-0.0007561165620959542,0.09133510617696253,,,,-0.011378623120411047,-0.0022381037027322526,0.005889034642290403,-0.02404132975137585,,,1,0.7676961959778272,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-21,5094.14990234375,-0.024730253416519687,0.18022847535457928,,,,-0.03552764384920726,0.054284389177829295,-0.000216798680050867,-0.008630852499165398,,,1,0.6411524465411481,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
2010-01-22,5036.0,-0.011480687178892168,0.17693321422532204,,,,-0.046537130102764834,0.05744682474339258,0.0024940977597631697,-0.012242677607497088,,,1,0.6798535383412038,Severe,volatility_20d,drawdown_60d,volatility_60d,momentum_60d,regime,drawdown_20d,connectedness_60d,mean_abs_correlation_60d,0.18471634643631826,0.08686670040935927,0.08605521912078037,0.07778211741912888,0.07684898131461278,0.0743778385753677,0.0719001945395649,0.0689850535271709
