date,nifty_close,regime,stress_probability,warning_level,driver_volatility_20d,driver_volatility_60d,driver_mean_abs_correlation_60d,driver_volatility_5d,driver_drawdown_60d
2010-01-04,5232.2001953125,,0.4544171125749062,Elevated,,,,,
2010-01-05,5277.89990234375,,0.4184511699934543,Elevated,,,,,
2010-01-06,5281.7998046875,,0.44273277077246903,Elevated,,,,,
2010-01-07,5263.10009765625,,0.4927649979967664,Elevated,,,,,
2010-01-08,5244.75,,0.4770673990360503,Elevated,,,,,
2010-01-11,5249.39990234375,,0.5759726582804575,Elevated,,,,,
2010-01-12,5210.39990234375,,0.7502894280787169,Severe,,,,,
2010-01-13,5233.9501953125,,0.6582386612377423,Severe,,,,,
2010-01-14,5259.89990234375,,0.6837169442645709,Severe,,,,,
2010-01-15,5252.2001953125,,0.7061841148389404,Severe,,,,,
2010-01-18,5274.85009765625,,0.6347304125921084,Severe,,,,,
2010-01-19,5225.64990234375,,0.7422231749223509,Severe,,,,,
2010-01-20,5221.7001953125,,0.7461143358695419,Severe,,,,,
2010-01-21,5094.14990234375,,0.6165368276207616,Severe,,,,,
2010-01-22,5036.0,,0.6712817860077714,Severe,,,,,
2010-01-25,5007.89990234375,,0.658230442901827,Severe,,,,,
2010-01-27,4853.10009765625,,0.47516320403083084,Elevated,,,,,
2010-01-28,4867.25,,0.40680946118679345,Elevated,,,,,
2010-01-29,4882.0498046875,,0.4221736618759541,Elevated,,,,,
2010-02-01,4899.7001953125,,0.38250224592116583,Elevated,,,,,
2010-02-02,4830.10009765625,0.0,0.37841907558976023,Elevated,,,,,
2010-02-03,4931.85009765625,0.0,0.30140552815133803,Elevated,,,,,
2010-02-04,4845.35009765625,0.0,0.37317950479994005,Elevated,,,,,
2010-02-05,4718.64990234375,0.0,0.4977719367989311,Elevated,,,,,
2010-02-08,4760.39990234375,0.0,0.47539629638356146,Elevated,,,,,
2010-02-09,4792.64990234375,0.0,0.38999974614990246,Elevated,,,,,
2010-02-10,4757.2001953125,0.0,0.4251617038249038,Elevated,,,,,
2010-02-11,4826.85009765625,0.0,0.3032811421272482,Elevated,,,,,
2010-02-15,4801.9501953125,0.0,0.3474301500635282,Elevated,,,,,
2010-02-16,4855.75,0.0,0.29189997482090296,Normal,,,,,
2010-02-17,4914.0,0.0,0.26810188330880985,Normal,,,,,
2010-02-18,4887.75,0.0,0.2795397162395296,Normal,,,,,
2010-02-19,4844.89990234375,0.0,0.31300803525087617,Elevated,,,,,
2010-02-22,4856.39990234375,0.0,0.31148667550334025,Elevated,,,,,
2010-02-23,4870.0498046875,0.0,0.3545519634194415,Elevated,,,,,
2010-02-24,4858.60009765625,0.0,0.38760873273250235,Elevated,,,,,
2010-02-25,4859.75,0.0,0.3829932081857721,Elevated,,,,,
2010-02-26,4922.2998046875,0.0,0.28247973306320134,Normal,,,,,
2010-03-02,5017.0,0.0,0.23837661101546725,Normal,,,,,
2010-03-03,5088.10009765625,0.0,0.15828411429403638,Normal,,,,,
2010-03-04,5080.25,0.0,0.2056970964562005,Normal,,,,,
2010-03-05,5088.7001953125,0.0,0.17858256770644662,Normal,,,,,
2010-03-08,5124.0,0.0,0.1725426351648375,Normal,,,,,
2010-03-09,5101.5,0.0,0.27177381284186886,Normal,,,,,
2010-03-10,5116.25,0.0,0.3171712909750795,Elevated,,,,,
2010-03-11,5133.39990234375,2.0,0.15830804857681313,Normal,,,,,
2010-03-12,5137.0,2.0,0.12293590578604237,Normal,,,,,
2010-03-15,5128.89990234375,2.0,0.11764592474169927,Normal,,,,,
2010-03-16,5198.10009765625,2.0,0.15875860491733115,Normal,,,,,
2010-03-17,5231.89990234375,2.0,0.10593868997077939,Normal,,,,,
2010-03-18,5245.89990234375,2.0,0.08795135112341292,Normal,,,,,
2010-03-19,5262.7998046875,2.0,0.1369457788685344,Normal,,,,,
2010-03-22,5205.2001953125,2.0,0.22767896111310723,Normal,,,,,
2010-03-23,5225.2998046875,2.0,0.12615751050713894,Normal,,,,,
2010-03-25,5260.39990234375,2.0,0.10676949450169168,Normal,,,,,
2010-03-26,5282.0,2.0,0.13344972486354328,Normal,,,,,
2010-03-29,5302.85009765625,2.0,0.11664811078384597,Normal,,,,,
2010-03-30,5262.4501953125,2.0,0.14307212847778833,Normal,,,,,
2010-03-31,5249.10009765625,2.0,0.06543833189553443,Normal,,,,,
2010-04-01,5290.5,2.0,0.1008785933658013,Normal,,,,,
2010-04-05,5368.39990234375,2.0,0.09421891271638627,Normal,,,,,
2010-04-06,5366.0,2.0,0.0851650240402882,Normal,,,,,
2010-04-07,5374.64990234375,2.0,0.14552769940638174,Normal,,,,,
2010-04-08,5304.4501953125,2.0,0.2595881864052592,Normal,,,,,
2010-04-09,5361.75,2.0,0.13768731111251628,Normal,,,,,
