date,nifty_close,nifty_log_return,volatility_5d,momentum_5d,drawdown_5d,volatility_20d,momentum_20d,drawdown_20d,volatility_60d,momentum_60d,drawdown_60d,india_vix_change,usd_inr_return,gold_return,stress_next_10d,mean_abs_correlation_60d,connectedness_60d,regime,stress_probability,warning_level,driver_1_name,driver_1_importance,driver_2_name,driver_2_importance,driver_3_name,driver_3_importance,driver_4_name,driver_4_importance,driver_5_name,driver_5_importance,driver_6_name,driver_6_importance,driver_7_name,driver_7_importance,driver_8_name,driver_8_importance
2010-01-04,5232.2001953125,,,,0.0,,,0.0,,,0.0,,,,0,,,,0.4405957662091577,Elevated,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-05,5277.89990234375,0.008696395775181998,,,0.0,,,0.0,,,0.0,-0.05795257898714956,-0.0036294347155430007,0.00035789964349830505,0,,,,0.39889135742892556,Elevated,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-06,5281.7998046875,0.0007386389062684628,,,0.0,,,0.0,,,0.0,-0.006735501367175822,-0.008672977459787123,0.015919908073333877,0,,,,0.4127450009903489,Elevated,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-07,5263.10009765625,-0.0035466864183373303,,,-0.0035404043550939512,,,-0.0035404043550939512,,,-0.0035404043550939512,0.01717898491633929,-0.0006999451991885897,-0.0024650486556414553,0,,,,0.48134060058806805,Elevated,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-08,5244.75,-0.0034926490460929216,,,-0.007014617376186583,,,-0.007014617376186583,,,-0.007014617376186583,0.0031110975477430802,-0.0037208494564717753,0.004500905212093231,0,,,,0.4585647636124229,Elevated,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-11,5249.39990234375,0.0008861894848699592,0.07920633460695381,0.0032872799948784337,-0.0061342541447700905,,,-0.0061342541447700905,,,-0.0061342541447700905,0.004873753293704652,-0.003515089457823972,0.010982253150801924,0,,,,0.5750219670165444,Elevated,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-12,5210.39990234375,-0.007457156247328456,0.05532313655484247,-0.012789177750420322,-0.013518100833807445,,,-0.013518100833807445,,,-0.013518100833807445,0.017636667246383908,0.005732137919155722,-0.018944927159865954,1,,,,0.7550080973775684,Severe,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-13,5233.9501953125,0.004509678948101836,0.07315419871712939,-0.009059337942444179,-0.005538542266511515,,,-0.009059337942444179,,,-0.009059337942444179,-0.047227043162522686,-0.0028497757031933357,0.006643635253611446,1,,,,0.6711941518303122,Severe,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-14,5259.89990234375,0.004945708140281724,0.08449219049486006,-0.0006080437865746413,0.0,,,-0.004146295420798474,,,-0.004146295420798474,-0.04592997905385965,0.0016488033030745974,0.005455782329001346,1,,,,0.7060200788786368,Severe,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
2010-01-15,5252.2001953125,-0.0014649229624303928,0.0805288096930543,0.0014205053267553058,-0.0014638504865499558,,,-0.005604076350779308,,,-0.005604076350779308,0.004766462519143699,0.005267468777594875,-0.01093996172509093,1,,,,0.7005911853397422,Severe,volatility_20d,0.18471634643631826,drawdown_60d,0.08686670040935927,volatility_60d,0.08605521912078037,momentum_60d,0.07778211741912888,regime,0.07684898131461278,drawdown_20d,0.0743778385753677,connectedness_60d,0.0719001945395649,mean_abs_correlation_60d,0.0689850535271709
